abstract,access_type,article_number,authors,citing_paper_count,conference_dates,conference_location,content_type,doi,download_count,eisbn,eissn,end_page,html_url,index_terms,is_open_access,isbn,issn,issue,pdf_url,publication_date,publication_title,publication_year,publisher,start_page,title,volume
"In the past few decades, interior design has relied on manual experience and designer intuition, during which time was consumed and the design results often failed to meet customer needs. Intelligent interior design is an emerging field based on [::artificial::] [::intelligence::] and big data technology, which aims to provide efficient and personalized interior design solutions through intelligen...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",10730915,Jing He,0,,,IEEE Conferences,10.1109/AIC61668.2024.10730915,153,,,660,,,False,,,,,27-28 July 2024,2024 IEEE 3rd World Conference on Applied [::Intelligence::] and Computing (AIC),2024,IEEE,655,Research and Implementation of Intelligent Interior Design Algorithms Based on Artificial Intelligence and Big Data,
"The primary aim of this work is to analyze the current advancements in [::artificial::] [::intelligence::] (AI) methodologies and tools pertaining to the management, maintenance, and regulation of renewable energy systems (RES), with a particular focus on solar power systems. The findings would enable researchers to advance existing technology and potentially use established and effective methods ...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",10990745,Aneep Kumar; Rajnandani Yadav; Shalu,0,,,IEEE Conferences,10.1109/IC3ECSBHI63591.2025.10990745,71,,,220,,,False,,,,,16-18 Jan. 2025,"2025 International Conference on Cognitive Computing in Engineering, Communications, Sciences and Biomedical Health Informatics (IC3ECSBHI)",2025,IEEE,216,Artificial Intelligence (AI) in Systems of Renewable Energy: A Concise Overview of its Uses and Approaches,
"The main focus of this learning: AI platforms are available, and specialized AI characteristics were used. The AI-based platforms were distributed via Software-as-a-Service (SaaS), a cloud computing technology. During the sourcing, screening, and selection phases, platforms were used. The platforms are thought to provide significant support for important tasks such sketch identical, showing, profi...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",10250583,Vasanthy. D; S. Venkatachalam,0,,,IEEE Conferences,10.1109/ICAISS58487.2023.10250583,427,,,216,,,False,,,,,23-25 Aug. 2023,2023 Second International Conference on Augmented [::Intelligence::] and Sustainable Systems (ICAISS),2023,IEEE,211,An Analysis of the Human Resource Recruitment Process using Artificial Intelligence Platform,
"Nowadays, the influence of [::artificial::] [::intelligence::] (AI) on the spheres of our life has not been completely studied. Large companies, institutions are introducing AI in their work to increase profits and reduce costs, there are activities on introducing AI in medicine, education, culture and other areas, which can improve the quality of medical care, increase the efficiency of education...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",10585602,Maksim A. Sorochinskiy; Sayana G. Prokhorova; Ksenia A. Bazanova,0,,,IEEE Conferences,10.1109/NeuroNT62606.2024.10585602,226,,,45,,,False,,,,,20-20 June 2024,2024 V International Conference on Neural Networks and Neurotechnologies (NeuroNT),2024,IEEE,43,The Impact of Using Artificial Intelligence on Cognitive Skills of Schoolchildren: the Subjective Assessment,
"An evaluation framework for the [::intelligence::] capabilities of [::artificial::] [::intelligence::] (AI) dialogue systems such as chatbots, consulting terminals, or operation interfaces is established in this recommended practice. The recommended practice classifies the [::intelligence::] capabilities of an AI dialogue system into three categories—cognitive [::intelligence::], emotional [::inte...","{'type': 'locked', 'message': 'Full text access may be available.'}",10653692,,0,,,IEEE Standards,,7,,,32,,,False,,,,,22 Aug. 2024,"IEEE P3128/D01, Aug 2024",2024,IEEE,1,IEEE Draft Recommended Practice for The Evaluation of Artificial Intelligence (AI) Dialogue System Capabilities,
"The use of [::artificial::] neural networks in eye disease recognition holds great promise. However, with the increasing complexity of neural network architectures and the inability to trace decision-making pathways, trust in the technology is declining. The use of explainable [::artificial::] [::intelligence::] in eye disease recognition will provide confidence to ophthalmologists. Methods based ...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",10175855,Egor N. Volkov; Aleksej N. Averkin,0,,,IEEE Conferences,10.1109/NeuroNT58640.2023.10175855,297,,,9,,,False,,,,,16-16 June 2023,2023 IV International Conference on Neural Networks and Neurotechnologies (NeuroNT),2023,IEEE,6,Gradient-based Explainable Artificial Intelligence Methods for Eye Disease Classification,
The main problems of the modern development of [::artificial::] [::intelligence::] are the lack of ethical norms and standardization. These problems should be resolved globally and at the level of dialogue between developed countries. This will allow the development and creation of systems based on [::artificial::] [::intelligence::] algorithms that can be implemented in any country. This paper di...,"{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",9271163,K. Nikolskaia; A. Minbaleev,0,,,IEEE Conferences,10.1109/FarEastCon50210.2020.9271163,511,,,5,,,False,,,,,6-9 Oct. 2020,2020 International Multi-Conference on Industrial Engineering and Modern Technologies (FarEastCon),2020,IEEE,1,New Perspectives on Ethics and the Laws of Artificial Intelligence in the Investigation of Incidents Related to DDoS Attacks,
"This study explores the advancements in [::artificial::] [::intelligence::] (AI) and machine learning (ML) applications in pharmacology, emphasizing their role in enhancing drug discovery, development, and personalized treatment plans. The most significant achievement of this research is the demonstration of how AI techniques, particularly deep learning models, can effectively analyze complex biol...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",10843462,Jafar Abdollahi; Omid Mehrpour,0,,,IEEE Conferences,10.1109/IST64061.2024.10843462,74,,,37,,,False,,,,,9-10 Oct. 2024,2024 11th International Symposium on Telecommunications (IST),2024,IEEE,28,Opportunities and Challenges Artificial Intelligence in Pharmacology : Artificial Intelligence in Pharmacology,
"A decade has passed, regarding the usage of [::artificial::] [::intelligence::] in the process of talent acquisition and this particular usage as gaining its incremental track as the process and practices of hiring people are evolving. The adaptation of [::artificial::] [::intelligence::] is significantly being tied up to the benefits provided by AI which significantly considered to be centering r...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",9791659,Pradnya Chitrao; Pravin Kumar Bhoyar; Raiv Divekar; Pinky Bhatt,0,,,IEEE Conferences,10.1109/IRTM54583.2022.9791659,809,,,8,,,False,,,,,24-26 Feb. 2022,2022 Interdisciplinary Research in Technology and Management (IRTM),2022,IEEE,1,Study on Use of Artificial Intelligence in Talent Acquisition,
"[::Artificial::] [::Intelligence::] (AI) has proven to be a great instrument in the application of technology in different real life situations. In most cases, the application of AI is followed by an improvement in the living conditions and well-being for humanity. Currently, the world is facing the pandemic of Covid-19. Application of [::artificial::] [::intelligence::] (AI) can be of great signi...","{'type': 'promotional', 'message': 'Freely Available from IEEE'}",9322829,Osama Nadeem; Muhammad Shajee Saeed; Muhammad Ali Tahir; Rafia Mumtaz,0,,,IEEE Conferences,10.1109/HONET50430.2020.9322829,3783,,,218,,,False,,,,,14-16 Dec. 2020,"2020 IEEE 17th International Conference on Smart Communities: Improving Quality of Life Using ICT, IoT and AI (HONET)",2020,IEEE,214,A Survey of Artificial Intelligence and Internet of Things (IoT) based approaches against Covid-19,
"With the rapid development of computer technology, [::artificial::] [::intelligence::] (AI) has been widely used in the field of art design. This paper mainly analyzes the impact and cases of [::artificial::] [::intelligence::] on art design, and it demonstrates that under the promotion of science and technology, the application of [::artificial::] [::intelligence::] in the field of art design can...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",9408896,Zhang Han,0,,,IEEE Conferences,10.1109/ICSP51882.2021.9408896,1168,,,1026,,,False,,,,,9-11 April 2021,2021 6th International Conference on Intelligent Computing and Signal Processing (ICSP),2021,IEEE,1023,Combined Development of Artificial Intelligence and Art Design,
"This investigation examines the impact of [::artificial::] [::intelligence::] on students&#39; academic achievements in order to ascertain the potential of technology to significantly transform higher education. A total of 1,000 students from 50 different educational institutions were included in this research endeavor, which aimed to examine the influence of [::artificial::] [::intelligence::] (AI) o...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",10568868,Sri Tulasi T; Inayath Ahamed S B,0,,,IEEE Conferences,10.1109/ICONSTEM60960.2024.10568868,933,,,5,,,False,,,,,4-5 April 2024,2024 Ninth International Conference on Science Technology Engineering and Mathematics (ICONSTEM),2024,IEEE,1,Artificial Intelligence Effects on Student Learning Outcomes in Higher Education,
"Employee retention is one of the biggest challenges in today’s work environment. Organizations are constantly working on different tactics and strategies at organizational and individual levels to retain their talent. To handle the scenario, [::Artificial::] [::intelligence::] (AI) and Emotional [::Intelligence::] (EI) are emerging as significant dimensions to be taken up for the research. Thus, t...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",10113017,Parul Saxena; Shivani Sharma; Rachna Bansal Jora,0,,,IEEE Conferences,10.1109/ICACCS57279.2023.10113017,762,,,823,,,False,,,,,17-18 March 2023,2023 9th International Conference on Advanced Computing and Communication Systems (ICACCS),2023,IEEE,819,Impact of Emotional Intelligence and Artificial Intelligence on Employee Retention: A Review of the Service Industry,1
[::Artificial::] [::intelligence::] is one of the most discussed topics of the present time. The burning question of today about [::artificial::] [::intelligence::] is “will it be beneficial or dangerous for a human being”. This research paper analyzes the benefits of [::artificial::] [::intelligence::] in medicine. It examines how [::artificial::] [::intelligence::] assists the medical field as w...,"{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",8769557,Samira Yeasmin,0,,,IEEE Conferences,10.1109/CAIS.2019.8769557,11058,,,6,,,False,,,,,1-3 May 2019,2019 2nd International Conference on Computer Applications & Information Security (ICCAIS),2019,IEEE,1,Benefits of Artificial Intelligence in Medicine,
"At present, [::artificial::] [::intelligence::] technology has made a major breakthrough. Big data, cloud computing, language recognition, deep learning and other [::artificial::] [::intelligence::] technologies are widely used in the field of education and teaching, which not only changes students&#39; traditional learning methods, but also promotes the innovation of teachers&#39; teaching methods and te...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",9603842,Saisai Zheng; Shengwen Zhu,0,,,IEEE Conferences,10.1109/ICNISC54316.2021.00188,193,,,1000,,,False,,,,,23-25 July 2021,2021 7th Annual International Conference on Network and Information Systems for Computers (ICNISC),2021,IEEE,998,A Study of College English Translation Teaching in the Age of Artificial Intelligence,
"In recent years, [::intelligence::] is the new direction of today&#39;s social development, and it is also a new feature of the development of informatization. With the rapid development of technologies such as [::artificial::] [::intelligence::], the Internet of Things, big data and cloud computing, smart products and devices such as smart homes, smart robots, smart toys, and smart buildings have eme...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",9969189,Ting Li; Xuemei Zou,0,,,IEEE Conferences,10.1109/FAIML57028.2022.00023,256,,,74,,,False,,,,,19-21 June 2022,2022 International Conference on Frontiers of [::Artificial::] [::Intelligence::] and Machine Learning (FAIML),2022,IEEE,71,Informatization of Constructive English Learning Platform Based on Artificial Intelligence Algorithm,
"In this paper, combined with the problems existing in the current campus and based on the advanced technology of [::artificial::] [::intelligence::], we propose a five-tier framework model for building a smart campus, and describe the specific application practice of the framework in detail.","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",9853359,Ruixia Cao,0,,,IEEE Conferences,10.1109/ICCEAI55464.2022.00154,176,,,734,,,False,,,,,22-24 July 2022,2022 International Conference on Computer Engineering and [::Artificial::] [::Intelligence::] (ICCEAI),2022,IEEE,730,Promoting Digital Campus to Smart Campus Based on Artificial Intelligence,
"[::Artificial::] [::Intelligence::] (AI) is a groundbreaking technological advancement of the 21st century, transforming industries such as healthcare, finance, transportation, manufacturing, and communication. It enables machines to mimic human [::intelligence::] through learning, reasoning, problem-solving, perception, and natural language processing. However, AI also presents significant risks,...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",11064242,Tariq Jamil; Umnia Tariq,0,,,IEEE Conferences,10.1109/AICCONF64766.2025.11064242,50,,,5,,,False,,,,,13-14 June 2025,2025 3rd Cognitive Models and [::Artificial::] [::Intelligence::] Conference (AICCONF),2025,IEEE,1,The Menace of Artificial Intelligence – A Critical Analysis,
"The research highlights the growing prevalence of [::artificial::] [::intelligence::] (AI) DEI made up the respondents that were chosen for the study. In order to help enterprises embrace AI effectively and meet DEI aims, this research study proposes a decision model. The research has been carried out within the framework of Indian corporations. The author has put out a model that provides a thoro...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",10810833,Meenatchi MB; Ramakrishnan P.R,0,,,IEEE Conferences,10.1109/ICDICI62993.2024.10810833,194,,,1218,,,False,,,,,18-20 Nov. 2024,2024 5th International Conference on Data [::Intelligence::] and Cognitive Informatics (ICDICI),2024,IEEE,1215,"Artificial Intelligence of Platforms Talent Management Diversity, Equality, and Inclusion Employee Satisfaction",
"This paper explores the integration of [::Artificial::] [::Intelligence::] (AI) technologies in the field of microelectronics testing and troubleshooting. Traditional methods for testing and troubleshooting microelectronic devices often face challenges such as high complexity, time-consumption, and the need for expert intervention. AI technologies, with their advanced capabilities in machine learn...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",10835640,Yiqun Zhang; Hailin Liu; Feng Xu,0,,,IEEE Conferences,10.1109/ICDACAI65086.2024.00070,87,,,347,,,False,,,,,18-20 Oct. 2024,"2024 3rd International Conference on Data Analytics, Computing and [::Artificial::] [::Intelligence::] (ICDACAI)",2024,IEEE,343,Research on the Application of Artificial Intelligence Technology in Microelectronics Testing and Fault Diagnosis,
"Under the function of learning, research, politics and so on, the development of [::artificial::] [::intelligence::] education is very rapid. [::Artificial::] [::intelligence::] makes education precision further realized, which also puts forward new requirements for teachers’ specialization. Based on the relationship between education and traditional education in the era of [::artificial::] [::int...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",9534591,Jin Jiao,0,,,IEEE Conferences,10.1109/ICAIE53562.2021.00045,412,,,187,,,False,,,,,18-20 June 2021,2021 2nd International Conference on [::Artificial::] [::Intelligence::] and Education (ICAIE),2021,IEEE,184,New Requirements of Teacher Professionalization for Emotional Labor and Psychological Capital in the Age of Artificial Intelligence,
"With the rapid development of [::artificial::] [::intelligence::] technology, the field of education is experiencing a transformative opportunity. This paper explores the application practices and reform pathways of AI in geography education. By analyzing the intersection of AI technology and the characteristics of geography teaching, this study summarizes the practical applications of intelligent...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",11158339,Jia Yu; Dalong Ma; Xiangwen Wu,0,,,IEEE Conferences,10.1109/ICAIE64856.2025.11158339,2,,,694,,,False,,,,,14-16 May 2025,2025 5th International Conference on [::Artificial::] [::Intelligence::] and Education (ICAIE),2025,IEEE,690,Empowering Geography Education with Artificial Intelligence: Exploring Application Practices and Reform Pathways,
"With the development of science and technology, [::artificial::] [::intelligence::] is more and more widely used, and [::artificial::] [::intelligence::] technology can be seen everywhere in people’s life. The combination of [::artificial::] [::intelligence::] and law has become a hot topic in recent years. [::Artificial::] [::intelligence::] technology can provide judges with objective, factual a...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",9742531,HaiTao Sun,0,,,IEEE Conferences,10.1109/ICISE-IE53922.2021.00319,296,,,1436,,,False,,,,,26-28 Nov. 2021,2021 2nd International Conference on Information Science and Education (ICISE-IE),2021,IEEE,1433,Research and application of artificial intelligence in law,
"Training highly qualified specialists in modern digital and information technologies, including [::artificial::] [::intelligence::] (AI) methods and technologies tasks Higher educational institutions. Since the 2021/2022 academic year, a new educational program, &#34;[::Artificial::] [::Intelligence::]&#34;, has been introduced at the Department of Applied Mathematics and [::Artificial::] [::Intelligence:...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",9782954,A. P. Eremeev; N. A. Paniavin; M. A. Marenkov,0,,,IEEE Conferences,10.1109/Inforino53888.2022.9782954,255,,,4,,,False,,,,,12-15 April 2022,2022 VI International Conference on Information Technologies in Engineering Education (Inforino),2022,IEEE,1,An Object-Oriented Approach to Ontology Modelling in Specialists Education of Methods and Technologies of Artificial Intelligence,
"In recent years, a large number of academic institutions have examined and experimented with teaching system evaluations with varying degrees of success. Techniques and tools for assessing the quality of the teaching system in general higher education institutions are required in order to comprehend the quality of learning and the teaching system in universities and colleges, to enhance school cir...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",10983567,Vimal Kumar Stephen; Ramesh Palanisamy; Anand Muthukumarappan; Kumar Kaliyamoorthy,0,,,IEEE Conferences,10.1109/AI2E64943.2025.10983567,42,,,6,,,False,,,,,3-5 Feb. 2025,"2025 International Conference for [::Artificial::] [::Intelligence::], Applications, Innovation and Ethics (AI2E)",2025,IEEE,1,Design and Application of Teaching System Using Artificial Intelligence Technology,
"In the 21st century, social changes and development are rapid, all of which are closely related to science and technology, and are gradually integrated into all aspects of society. Since 1956 in the last century, [::artificial::] [::intelligence::] technology has developed rapidly. Today, [::artificial::] [::intelligence::] has spread to all aspects of economy, society, the rule of law and the hum...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",9759927,Yishu Liu,0,,,IEEE Conferences,10.1109/FoNeS-AIoT54873.2021.00033,355,,,119,,,False,,,,,27-28 Dec. 2021,2021 International Conference on Forthcoming Networks and Sustainability in AIoT Era (FoNeS-AIoT),2021,IEEE,115,Enterprise Brand Marketing Strategy under the Background of Artificial Intelligence,
"Mathematical thinking is the basis of the development of [::artificial::] [::intelligence::], which is the ability to think and solve problems from the mathematical viewpoint. Based on the analysis of the connotation and function of mathematical thinking, this paper discusses mathematical thinking required in [::artificial::] [::intelligence::], then expounds the mathematical thinking cultivation ...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",9570967,Jie Shen; Qinglin Wu,0,,,IEEE Conferences,10.1109/IRCE53649.2021.9570967,122,,,140,,,False,,,,,18-20 Sept. 2021,2021 4th International Conference on Intelligent Robotics and Control Engineering (IRCE),2021,IEEE,136,Application and Cultivation on Mathematical Thinking in Artificial Intelligence,
"On the basis of defining the concepts of [::artificial::] [::intelligence::] and big data, this paper expounds the significance of the practical application of [::artificial::] [::intelligence::] and big data in the field of human resource management. This paper focuses on the practical application status of [::artificial::] [::intelligence::] and big data in the field of human resource management...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",10027213,Quan Xue,0,,,IEEE Conferences,10.1109/ICEKIM55072.2022.00061,254,,,247,,,False,,,,,21-23 Jan. 2022,"2022 3rd International Conference on Education, Knowledge and Information Management (ICEKIM)",2022,IEEE,243,Practical Application of Artificial Intelligence and Big Data in the Field of Human Resource Management,
"The rapid development of [::artificial::] [::intelligence::] technology has put forward new requirements for the quality of the people. As the main force of national skilled talents, students of vocational colleges have become the main force of researching technical skills. The integration of intellectual literacy into the study of technical skills has become a major issue that urgently needs to b...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",9526071,Si Jinghua,0,,,IEEE Conferences,10.1109/IEIT53597.2021.00126,96,,,540,,,False,,,,,16-18 April 2021,"2021 International Conference on Internet, Education and Information Technology (IEIT)",2021,IEEE,537,Exploration and Practice of Intelligent Educational Accomplishment of Computer Majors in Vocational Colleges in the Era of Artificial Intelligence,
"Over the centuries, the accumulation and sharing of knowledge have profoundly shaped the human intellect, paving the way for the emergence of modern civilization. As development progressed, the methods of acquiring and disseminating knowledge evolved. Today, in the era of digital technologies, [::artificial::] [::intelligence::] exerts an increasingly powerful influence on education. This technolo...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",11122137,Ibraim Didmanidze; Darejan Geladze; Olga Yamkova; Ia Motskobili; Inga Surmanidze; Volodymyr Zaslavskyi; Olegi Iremadze; Irma Takidze,0,,,IEEE Conferences,10.1109/DESSERT65323.2024.11122137,18,,,8,,,False,,,,,11-13 Oct. 2024,"2024 14th International Conference on Dependable Systems, Services and Technologies (DESSERT)",2024,IEEE,1,Artificial Intelligence and Intellectual Development of Students,
"[::Artificial::] [::Intelligence::] (AI) encompasses a wide array of technologies that emulate human [::intelligence::] to perform tasks such as diagnosis, treatment planning, and patient management in healthcare. Recent innovations in AI, such as deep learning, natural language processing, and robotics, have significantly transformed medical practices. This review highlights key innovations, incl...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",10803499,Hassan Almaeeni,0,,,IEEE Conferences,10.1109/MedAI62885.2024.00015,277,,,66,,,False,,,,,15-17 Nov. 2024,2024 IEEE International Conference on Medical [::Artificial::] [::Intelligence::] (MedAI),2024,IEEE,59,Review on Artificial Intelligence in Medicine and Health,
"Marvin Minsky, the father of [::Artificial::] [::intelligence::] (AI), defined AI as machines that are smarter than humans and can-do tasks that humans cannot easily do. [::Artificial::] [::intelligence::] has grown at a rapid rate never before seen in a variety of industries. Different types of AI are already used by insurance companies, service providers and companies. Now, with the addition of ...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",10085222,Tanishq Soni; Deepali Gupta; Mudita Uppal; Sapna Juneja,0,,,IEEE Conferences,10.1109/AISC56616.2023.10085222,648,,,1261,,,False,,,,,27-29 Jan. 2023,2023 International Conference on [::Artificial::] [::Intelligence::] and Smart Communication (AISC),2023,IEEE,1256,Explicability of Artificial Intelligence in Healthcare 5.0,
"In order to support the development of more efficient spectrum management by using Big Data and [::Artificial::] [::Intelligence::] (AI), the authors study and propose a methodological framework that allows the application of Big Data and AI into spectrum management. The authors benchmark how spectrum regulators across the world are currently applying Big Data and AI technologies into their spectr...","{'type': 'open-access', 'message': 'Open Access'}",10701304,Rathapon Saruthirathanaworakun; Ngoc Thien Le; Truong Thanh Le; Wattanasak Srisiri; Surachai Chaitusaney; Pasu Kaewplung; Watit Benjapolakul,0,,,IEEE Journals,10.1109/ACCESS.2024.3471787,3481,,,144149,,,False,,,,,2024,IEEE Access,2024,IEEE,144122,The Application of Artificial Intelligence in Spectrum Management and the Analytics of Frequency Data Using Big Data Technology,12
"The present paper present a bibliometric analysis on the actual research interest on the use and application of [::Artificial::] [::Intelligence::] systems to the different need of elderly in the field of business and management. The Elderly population is a now a Grand Challenge, the United Nation declared the next decade as the decade of healthy ageing we would analyze what is the actual research...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",10438121,Giulia Nevi; Giulia Gogiali; Luca Dezi; Federico Matteo Gamma,0,,,IEEE Conferences,10.1109/ICTMOD59086.2023.10438121,162,,,6,,,False,,,,,22-24 Nov. 2023,"2023 IEEE International Conference on Technology Management, Operations and Decisions (ICTMOD)",2023,IEEE,1,Artificial Intelligence for Elderly Intelligence,
"Space [::artificial::] [::intelligence::] technology will play an increasingly important role in aerospace engineering. Firstly, space [::artificial::] [::intelligence::] technology system is given from the support technology, basic technology, key technology and the final space application. Then, key technologies of space [::artificial::] [::intelligence::] are discussed from the intelligent mana...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",10604551,Zhenyu Qiu; Xiaojun Tang; Shijin Wang; Yue Wang,0,,,IEEE Conferences,10.1109/ICAIBD62003.2024.10604551,430,,,565,,,False,,,,,24-27 May 2024,2024 7th International Conference on [::Artificial::] [::Intelligence::] and Big Data (ICAIBD),2024,IEEE,561,Key Technologies of Space Artificial Intelligence,
"In the music industry, researchers have been developing an approach to music as an informational phenomenon for decades. Interest in music as information becomes especially noticeable with the development of [::artificial::] [::intelligence::]. [::Artificial::] [::intelligence::] algorithms are used to determine musical preferences, provide personal recommendations on streaming services, and compo...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",9271097,A.B. Kayak; S.G. Fadyushin; E.A. Vereshchagina,0,,,IEEE Conferences,10.1109/FarEastCon50210.2020.9271097,310,,,4,,,False,,,,,6-9 Oct. 2020,2020 International Multi-Conference on Industrial Engineering and Modern Technologies (FarEastCon),2020,IEEE,1,Analytical Framework of the Convergent Approach to the Creation of Musical Systems Based on Artificial Intelligence,
"The present era of &#34;big data analytics and management&#34; requires a robust and impenetrable system to deal with the issues of data integrity and security. If data is altered or deleted without sufficient audit trails, a corporation loses its most valuable asset. This has major repercussions on the use of available data and the conclusions drawn from such use. It is commonly said that &#34;data is money&#34;...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",10085250,Vinjamuri Lakshmi Priya; Aghanaashaa. A; Aditya Chahar; Alisha. A,0,,,IEEE Conferences,10.1109/AISC56616.2023.10085250,591,,,785,,,False,,,,,27-29 Jan. 2023,2023 International Conference on [::Artificial::] [::Intelligence::] and Smart Communication (AISC),2023,IEEE,781,Artificial Intelligence as a Tool for Enhanced Data Integrity and Data Security,
"The article outlines the main directions of development of the Center for National Technology Initiatives based on the Moscow Institute of Physics and Technology in the field of [::artificial::] [::intelligence::]. The Moscow Institute of Physics and Technology (officially, a National Research University), or MIPT, is a leading scientific and educational institution in Russia in the field of funda...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",8674436,Sergey Garichev; Alexander Vedyakhin,0,,,IEEE Conferences,10.1109/IC-AIAI.2018.8674436,722,,,3,,,False,,,,,31 Oct.-2 Nov. 2018,2018 International Conference on [::Artificial::] [::Intelligence::] Applications and Innovations (IC-AIAI),2018,IEEE,1,Conception and Development Program of National Technology Initiative Center for Artificial Intelligence at MIPT,
This study systematically explores the innovative applications and mechanisms of [::artificial::] [::intelligence::] (AI) in interdisciplinary collaborative education to reconstruct interdisciplinary learning systems. The research focuses on three core dimensions: Intelligent Personalized Learning: AI dynamically optimizes interdisciplinary learning paths based on learning analytic and adaptive al...,"{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",11158384,Wenda Li; Na Su,0,,,IEEE Conferences,10.1109/ICAIE64856.2025.11158384,3,,,669,,,False,,,,,14-16 May 2025,2025 5th International Conference on [::Artificial::] [::Intelligence::] and Education (ICAIE),2025,IEEE,666,Innovative Research on Interdisciplinary Collaborative Education Mechanisms Driven by Artificial Intelligence,
"The global governance of [::artificial::] [::intelligence::] (AI) has emerged as a prominent topic in academia since 2018, with considerable attention given to its intersection with international organizations (IOs). By synthesizing 36 English and Chinese literature works, this review finds that current research covers diverse fields including digital, education, health, security, and LLMs governa...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",11022173,Jingchen Huang,0,,,IEEE Conferences,10.1109/ACAIT63902.2024.11022173,119,,,110,,,False,,,,,8-10 Nov. 2024,2024 8th Asian Conference on [::Artificial::] [::Intelligence::] Technology (ACAIT),2024,IEEE,106,A Literature Review: International Organizations and the Global Governance of Artificial Intelligence,
"With the rapid evolution of [::artificial::] [::intelligence::] technology, its ethical, social and philosophical implications have attracted growing attention. This paper examines the relevance of AI to core Marxist concepts of social production, class struggle and historical determinism. A knowledge graph that integrates Marxist philosophy and AI systematically illustrates how these theories inf...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",11189573,Xiying Zhang; Shasha Wang,0,,,IEEE Conferences,10.1109/ICAIDE65466.2025.11189573,0,,,73,,,False,,,,,29-31 May 2025,2025 International Conference on [::Artificial::] [::Intelligence::] and Digital Ethics (ICAIDE),2025,IEEE,69,Constructing the Knowledge Graph of Marxist Philosophy and Artificial Intelligence: A Path Research from Data Analysis to Theoretical Integration,
"Background: With the rapid advancement of technology, [::Artificial::] [::Intelligence::] (AI) has become integral to drug management and development. This study conducts a bibliometric analysis to explore research frontiers, focus areas, and trends in AI applications within these fields.Methods: Using literature indexed in SCI and SSCI as of October 10, 2024, covering the period from 2014 to 2024...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",10963098,Yongcong Ma; Fengshi Jing,0,,,IEEE Conferences,10.1109/CAIT64506.2024.10963098,42,,,223,,,False,,,,,20-22 Dec. 2024,2024 5th International Conference on Computers and [::Artificial::] [::Intelligence::] Technology (CAIT),2024,IEEE,218,Bibliometric Analysis and Research Trends in Artificial Intelligence for Pharmaceutical Management and Drug Discovery,
"With the continuous advancement of science and technology, the application of [::artificial::] [::intelligence::] (AI) in smart cities has garnered significant attention. This paper employs scientometric methods to analyze the application of AI within the context of smart cities. It explores the impact and development trends of AI on convenient services, particularly those driven by technologies s...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",11034421,Qixin Lin; Chung-Lien Pan; Congming Luo,0,,,IEEE Conferences,10.1109/ICAID65275.2025.11034421,36,,,95,,,False,,,,,25-27 April 2025,"2025 4th International Conference on [::Artificial::] [::Intelligence::], Internet and Digital Economy (ICAID)",2025,IEEE,92,Scientometric Analysis of Artificial Intelligence Applications in Smart City,
